APTV,2
DVN,9
HSY,0
CAG,4
HST,2
LUV,3
MMC,3
BA,0
VRSK,9
TSLA,7
YUM,7
DE,6
CHD,3
PHM,6
XOM,0
LULU,4
KR,9
EG,6
GEN,3
NUE,7
RF,3
ABT,5
ALK,9
EQIX,2
WEC,5
VTR,7
UPS,9
APH,8
STE,7
ADSK,9
EMR,5
CBOE,6
EQR,2
ELV,0
BBWI,6
AAL,0
MCHP,7
CTRA,9
RSG,4
FE,9
NTRS,2
SBAC,8
EW,4
BXP,0
CL,0
MU,2
XYL,1
MAS,3
RL,3
BIO,0
AMD,2
HBAN,9
CNP,2
DFS,8
PGR,5
ISRG,2
PKG,3
ADM,7
ECL,6
QCOM,0
CHRW,1
CME,2
ORLY,8
ZBH,8
LOW,9
PODD,7
MKC,1
NOW,8
ACN,3
SWKS,8
TJX,7
AIG,4
EXR,8
LNT,5
CRM,1
KIM,1
WBA,3
CAH,2
ODFL,6
FLT,4
SBUX,5
GPN,1
IRM,7
BDX,8
OMC,4
TECH,5
WAT,4
IFF,0
CCL,6
MRO,1
COST,1
LIN,8
BF-B,1
PNW,3
RMD,8
FFIV,3
EOG,0
DGX,9
TRMB,9
BMY,5
PSX,5
SNA,7
CTAS,7
CHTR,6
AEP,6
WELL,0
MNST,8
FSLR,4
AMP,5
MOS,4
SRE,0
UHS,9
HUBB,7
UDR,9
FDX,2
CDNS,5
ANSS,7
GM,1
VRTX,5
GOOG,6
BR,2
GWW,7
DUK,5
WRB,3
CMS,3
IDXX,8
ICE,0
FIS,8
FAST,0
PPG,2
PNC,3
AVB,2
ROST,9
MLM,0
AON,0
CF,7
KMB,2
DOV,4
TROW,4
AMZN,5
NVR,5
MCK,9
CVS,6
PFG,9
FMC,4
AMGN,2
PLD,1
A,4
KDP,3
ETN,5
PRU,5
CRL,7
DVA,3
GILD,5
VFC,9
VTRS,5
COO,8
GRMN,4
ES,6
CSX,1
SLB,8
KMX,3
BALL,6
ULTA,6
VRSN,4
ADP,1
WMB,1
META,4
INTU,7
UNH,3
REG,6
COF,7
SHW,0
ROL,1
MMM,4
WYNN,6
VLO,7
FICO,1
PEG,9
HII,1
LDOS,9
TFC,4
ON,0
PEP,1
USB,6
SEE,5
JBHT,0
PNR,0
PXD,8
AXP,0
DRI,5
REGN,9
VMC,5
WTW,1
ORCL,9
ADI,8
MDLZ,4
CLX,5
HOLX,9
MCO,7
HD,6
HAL,0
PFE,9
INCY,5
D,7
ALGN,7
PM,8
EFX,0
MO,8
FTNT,0
CINF,2
POOL,3
AES,0
EL,2
OXY,4
NTAP,0
PH,0
TMO,5
KLAC,7
AKAM,8
PARA,4
AFL,4
MTCH,3
SJM,4
MHK,6
NXPI,2
LH,0
C,9
TXT,8
OKE,4
RJF,6
TT,1
FITB,8
AVGO,4
TSN,4
BIIB,4
AWK,0
DXCM,0
SO,9
FDS,0
GPC,6
JNJ,9
TSCO,3
XRAY,1
EMN,1
BX,5
PG,5
TRGP,9
GS,7
WHR,9
ATO,2
NFLX,8
PCG,2
WY,2
COP,7
AJG,6
HES,3
MDT,1
AMAT,7
ILMN,7
GIS,0
LLY,8
DPZ,6
IBM,7
LEN,1
SPG,4
STX,7
CVX,9
JPM,7
NDSN,3
MA,3
MKTX,2
CB,9
F,5
BKR,0
FRT,2
WFC,4
WAB,0
CTSH,3
PEAK,9
CPRT,1
MRK,3
BBY,4
BLK,3
PAYX,6
EQT,1
CE,1
CAT,4
DD,3
MSCI,5
TAP,2
ETR,2
JNPR,1
TER,4
RVTY,8
INTC,6
STT,9
LMT,5
SYK,7
HON,6
DIS,9
CMA,6
WDC,8
CPT,6
TEL,9
ED,7
DTE,2
BWA,6
URI,3
DHR,2
ALL,0
HAS,7
ZION,6
TDY,3
DLTR,9
PWR,3
MAR,0
TYL,8
BKNG,7
L,5
HSIC,9
PTC,6
ITW,3
ALB,8
CNC,0
GLW,2
SWK,6
LVS,0
BEN,2
FI,8
HPQ,9
SPGI,3
DLR,4
GD,4
IEX,8
GE,2
SYY,2
APD,6
MPWR,0
SNPS,0
MET,4
MTB,4
EXPD,7
HCA,6
EVRG,9
WST,1
KEY,2
TMUS,0
NEE,9
WBD,0
AMCR,6
APA,1
MCD,6
NOC,8
MOH,9
TFX,4
AXON,6
TPR,1
J,5
CSCO,6
FANG,9
ABBV,5
HUM,2
EBAY,3
CMCSA,7
EA,3
JCI,5
BK,0
ADBE,7
VZ,7
FCX,7
MTD,9
SCHW,1
LYB,2
NDAQ,1
CI,8
T,1
GNRC,0
EPAM,4
MSFT,2
WM,3
LKQ,7
ROK,0
LYV,9
TTWO,4
BRK-B,8
AMT,3
CMI,3
ACGL,2
NI,8
WMT,1
UAL,2
AME,6
NSC,0
AVY,7
ENPH,6
EXC,9
MS,5
AOS,2
MGM,6
PSA,5
DG,3
STZ,5
EXPE,0
CSGP,8
TRV,4
TXN,3
KMI,1
ROP,3
ESS,4
IP,6
V,8
BSX,7
IVZ,8
KO,0
HIG,6
BAC,7
NKE,5
DHI,8
CCI,8
BRO,0
CBRE,9
ARE,1
COR,0
EIX,3
LHX,6
RHI,1
RTX,5
MSI,9
PANW,9
ZBRA,2
CMG,0
DAL,0
NVDA,0
IPG,7
HRL,6
MPC,6
NEM,5
PPL,8
XEL,7
JKHY,1
PCAR,2
AZO,6
IT,2
LRCX,5
GOOGL,6
MAA,9
TGT,1
BAX,6
RCL,7
NRG,5
O,8
GL,4
CPB,9
STLD,1
BG,6
TDG,7
AEE,9
AAPL,2
AIZ,8
UNP,3
K,3
